"","overallx","nrisk1","nrisk2","nrisk3","nrisk4","nrisk5","nrisk6","nrisk7","nrisk8","nrisk9","nrisk10","nrisk11","nrisk12","nrisk13","nrisk14","nrisk15","nrisk16","nrisk17","nrisk18","nrisk19","nrisk20","nrisk21","nrisk22","nrisk23","nrisk24","nrisk25","nrisk26","nrisk27","nrisk28","nrisk29","nrisk30","nrisk31","nrisk32","nrisk33","nrisk34","nrisk35","nrisk36","nrisk37","nrisk38","nrisk39","nrisk40","nrisk41","nrisk42","nrisk43","nrisk44","nrisk45","nrisk46","nrisk47","nrisk48","nrisk49","nrisk50","nrisk51","nrisk52","nrisk53","nrisk54","nrisk55","nrisk56","nrisk57","nrisk58","nrisk59"
"1",0,6,1,1,6,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,6,6
"2",0,6,1,1,1,1,1,1,1,3,1,1,3,1,1,2,1,1,3,2,1,1,1,1,1,1,3,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,1,2,2,2,1
"3",0,6,1,2,6,2,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,3,2
"4",1,6,3,3,5,1,4,2,4,1,3,3,2,1,3,5,4,4,5,2,1,1,4,4,5,5,4,2,4,2,4,2,4,2,5,5,1,2,1,1,4,2,4,2,1,1,1,1,1,1,5,2,3,1,4,2,4,2,6,6
"5",0,4,1,1,4,1,4,1,2,1,1,1,1,1,3,2,1,1,2,2,2,2,3,3,2,4,1,2,2,3,1,1,4,4,4,2,2,2,2,4,1,1,2,4,3,3,1,3,4,4,4,4,3,3,1,1,2,2,6,6
"6",0,6,3,1,6,2,1,6,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,2,2,2,1,1,3,3,2,2,3,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1
"7",1,6,6,1,6,1,4,6,1,4,6,4,1,1,1,6,1,2,5,2,1,2,2,2,4,2,4,2,5,2,4,2,5,2,2,2,4,2,4,2,4,2,1,2,1,2,1,2,1,2,6,2,4,2,4,2,4,2,6,2
"8",1,4,1,2,4,6,1,4,5,4,2,4,1,6,1,4,4,4,1,1,6,2,2,2,4,2,1,2,2,1,3,2,6,6,2,6,4,5,4,1,6,6,4,4,5,2,5,2,6,6,3,3,4,1,1,1,2,2,1,1
"9",0,2,4,3,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
"10",0,3,3,3,2,4,2,2,3,1,1,1,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,1,2,2,2
"11",0,6,1,1,2,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,6,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1
"12",1,6,2,1,6,1,1,2,4,2,1,1,1,6,1,6,5,6,2,2,1,6,3,2,2,4,6,2,4,4,2,2,5,6,6,2,4,4,1,1,4,2,3,3,6,6,1,6,6,2,6,6,4,1,4,1,1,1,1,1
"13",1,2,1,2,4,5,1,3,2,1,4,6,1,5,1,4,1,1,5,4,1,5,6,6,6,6,2,2,6,4,5,6,6,6,6,2,6,6,2,2,5,2,4,4,5,5,2,2,6,6,6,4,2,2,2,2,2,2,1,6
"14",0,6,1,1,3,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,3,2,1,2,2,2
"15",0,5,1,2,5,4,2,2,2,2,2,6,2,2,2,4,4,2,2,2,2,2,6,4,6,6,2,2,6,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,3,6,3,4,4,2,4,2,4,2,2
"16",0,5,2,2,5,2,5,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,4,4
"17",0,4,1,1,1,3,1,1,3,1,1,3,1,6,1,2,1,6,1,2,1,6,1,4,1,2,1,4,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,1,1,3,1,1,1,1,2,1,2,1,1
"18",0,4,2,3,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,3,2,1,2,1,2,1,2,1,2,1,2,4,2,5,2,2,2,4,2,2,2
"19",0,4,1,1,4,1,2,1,1,1,2,2,2,1,2,4,4,4,3,2,1,1,4,4,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3
"20",0,4,1,1,4,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,4,4,4,2,2,3,1,3,1,1,2,2,2,2,3,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2
"21",0,4,2,3,6,2,2,2,4,1,1,1,1,2,2,4,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,3,3,4,2,2,2,2,2,2,2
"22",0,5,3,3,3,1,3,1,1,2,1,2,2,2,2,3,1,1,3,3,2,2,1,1,1,1,2,2,3,3,2,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,4,4,3,3,3,3,3,2,2
"23",0,5,4,3,5,1,1,1,1,1,1,1,1,2,1,3,2,1,2,1,1,1,5,5,1,1,6,6,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
"24",0,6,1,1,6,1,1,1,1,1,1,1,2,2,1,1,1,2,1,5,1,2,1,6,1,5,2,1,1,2,1,4,1,6,1,4,1,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,1
"25",0,6,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
"26",0,6,2,2,6,1,1,1,1,1,1,1,1,2,1,6,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2
"27",1,6,2,2,6,1,4,1,4,1,1,1,1,1,1,6,3,5,2,2,1,1,6,6,6,6,2,4,4,6,1,2,4,5,5,2,1,3,2,4,2,4,1,1,4,4,1,1,1,1,6,6,4,4,2,4,1,1,1,1
"28",0,6,6,4,2,1,1,1,3,1,1,2,2,1,1,4,1,4,1,2,1,1,1,1,4,4,1,6,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,3,3,2,2
"29",1,4,1,2,4,1,2,2,3,2,6,2,3,2,2,3,2,1,4,2,2,2,6,2,2,2,2,2,2,1,3,1,2,1,2,1,4,1,2,2,6,1,2,2,2,2,2,2,2,2,4,2,1,1,2,1,2,2,4,1
"30",0,6,1,1,6,1,1,1,1,2,1,1,1,2,2,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,6,2,2,1,1,1,1
"31",0,6,4,2,6,1,6,6,2,1,1,1,1,1,1,4,5,5,5,5,2,2,6,5,2,2,2,2,4,4,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1
"32",1,6,1,2,6,2,2,2,2,1,1,1,2,2,2,3,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,5,1,2,1,2,2,2,1,2,1,2,1,2,4,2,2,1,2,2,2,2,6,5
"33",0,5,5,2,2,3,2,3,4,2,2,1,1,1,1,3,1,1,3,3,1,1,1,1,3,1,4,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,1,1,1,1,4,3,2,2,2,2,3,3,3,3
"34",1,2,2,6,5,4,3,2,4,2,2,3,2,2,2,5,4,2,2,2,2,2,3,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,6,2
"35",1,6,3,2,6,2,4,2,3,2,4,4,2,1,6,6,6,2,4,2,2,2,6,2,6,2,6,2,2,2,2,2,6,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,6,2,6,2,6,2,2,2
